title,average_rating,number_of_reviews,price,availability,category,publication_year
Data Feminism (Strong Ideas),4.8,260,20..99,In Stock,General,"Publisher
                                    ‏
                                    :
                                    ‎
                                 The MIT Press (October 3, 2023)"
Unstructured Data: A Primer for Beginning Analyst in the Age of AI,Previous,,9..99,Unavailable,Big Data,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Data Analytics Curriculum (February 23, 2025)"
"Databricks: Unified Analytics for Data Engineering, AI, and Business Intelligence",Previous,,2..99,Unavailable,Data Mining,
Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Learn Machine Learning with Python Books for Beginners Book 1),4.4,421,3..94,Unavailable,AI & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Scatterplot Press; 3rd edition (December 31, 2020)"
"The Digital Mindset: What It Really Takes to Thrive in the Age of Data, Algorithms, and AI",4.5,190,18..93,Unavailable,Robotics & Automation,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Harvard Business Review Press (May 10, 2022)"
Effective Data Visualization: The Right Chart for the Right Data,4.5,165,64..49,Unavailable,Communications,"Publisher
                                    ‏
                                    :
                                    ‎
                                 SAGE Publications, Inc; 2nd edition (May 14, 2019)"
Big Data Big Design: Why Designers Should Care about Artificial Intelligence,4.5,25,29..95,Unavailable,Products,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Princeton Architectural Press (October 19, 2021)"
Winning with Data Science: A Handbook for Business Leaders,4.8,11,19..80,In Stock,Business,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Columbia Business School Publishing (January 30, 2024)"
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,4.4,872,15..00,In Stock,Media & Internet,"Publisher
                                    ‏
                                    :
                                    ‎
                                 W. W. Norton & Company; Reprint edition (February 8, 2016)"
The AI Playbook: Mastering the Rare Art of Machine Learning Deployment (Management on the Cutting Edge),4.5,80,0..00,Unavailable,Intelligence & Semantics,
The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,4.5,144,33..41,Unavailable,Data Warehousing,"Publisher
                                    ‏
                                    :
                                    ‎
                                 John Wiley & Sons Inc; Subsequent edition (January 1, 2002)"
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,4.3,1709,0..00,Unavailable,Expert Systems,
Analytics Modeling in Reliability and Machine Learning and Its Applications (Springer Series in Reliability Engineering),Previous,,25..99,Unavailable,AI & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Springer (January 20, 2025)"
"R Bioinformatics Cookbook - Second Edition: Utilize R packages for bioinformatics, genomics, data science, and machine learning",4.6,6,37..93,In Stock,Biomedical Engineering,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (October 31, 2023)"
Data (De)coded: What Everyone Needs to Know about Data and AI (No Tech Degree Required),5.0,3,9..99,Unavailable,AI & Semantics,
Mastering Data Profiling. Advanced Techniques for Insightful Analysis.,Previous,,89..99,In Stock,Relational Databases,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (February 25, 2024)"
"Building Modern Data Applications Using Databricks Lakehouse: Develop, optimize, and monitor data pipelines on Databricks",5.0,2,35..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (October 31, 2024)"
